"SG_UF";"CO_MUNICIPIO";"NO_MUNICIPIO";"REDE";"VL_OBSERVADO_2019";"VL_PROJECAO_2019"
"RO";1100015;"Alta Floresta D'Oeste";"Estadual";"5,4";"5,3"
"RO";1100015;"Alta Floresta D'Oeste";"Municipal";"4,6";"5"
"RO";1100015;"Alta Floresta D'Oeste";"Pública";"5,2";"5,3"
"RO";1100023;"Ariquemes";"Estadual";"5,1";"5,4"
"RO";1100023;"Ariquemes";"Municipal";"4,4";"5"
"RO";1100023;"Ariquemes";"Pública";"5,1";"5,2"
"RO";1100031;"Cabixi";"Estadual";"4,6";"5,5"
"RO";1100031;"Cabixi";"Pública";"4,6";"5,5"
"RO";1100049;"Cacoal";"Estadual";"5,4";"5,2"
"RO";1100049;"Cacoal";"Municipal";"4,3";"5,2"
"RO";1100049;"Cacoal";"Pública";"5,3";"5,3"
"RO";1100056;"Cerejeiras";"Estadual";"5,3";"5,3"
"RO";1100056;"Cerejeiras";"Municipal";;"5,2"
"RO";1100056;"Cerejeiras";"Pública";"5,3";"5,4"
"RO";1100064;"Colorado do Oeste";"Estadual";"5,2";"5,6"
"RO";1100064;"Colorado do Oeste";"Municipal";;
"RO";1100064;"Colorado do Oeste";"Pública";"5,1";"5,7"
"RO";1100072;"Corumbiara";"Estadual";"5";"5"
"RO";1100072;"Corumbiara";"Municipal";;
"RO";1100072;"Corumbiara";"Pública";"4,9";"5,1"
"RO";1100080;"Costa Marques";"Estadual";"5,1";"5"
"RO";1100080;"Costa Marques";"Municipal";;
"RO";1100080;"Costa Marques";"Pública";"4,5";"4,8"
"RO";1100098;"Espigão D'Oeste";"Estadual";"5,6";"5,5"
"RO";1100098;"Espigão D'Oeste";"Municipal";"4,5";"5,4"
"RO";1100098;"Espigão D'Oeste";"Pública";"5,4";"5,4"
"RO";1100106;"Guajará-Mirim";"Estadual";"4,5";"5,1"
"RO";1100106;"Guajará-Mirim";"Pública";"4,5";"5,1"
"RO";1100114;"Jaru";"Estadual";"5,1";"5"
"RO";1100114;"Jaru";"Municipal";;"4,6"
"RO";1100114;"Jaru";"Pública";"5,1";"4,6"
"RO";1100122;"Ji-Paraná";"Estadual";"4,9";"5,1"
"RO";1100122;"Ji-Paraná";"Municipal";;
"RO";1100122;"Ji-Paraná";"Pública";"4,9";"5,1"
"RO";1100130;"Machadinho D'Oeste";"Estadual";"4,5";"5,2"
"RO";1100130;"Machadinho D'Oeste";"Municipal";;"4,6"
"RO";1100130;"Machadinho D'Oeste";"Pública";"4,5";"4,7"
"RO";1100148;"Nova Brasilândia D'Oeste";"Estadual";"6,2";"5,4"
"RO";1100148;"Nova Brasilândia D'Oeste";"Municipal";"5,7";"5,1"
"RO";1100148;"Nova Brasilândia D'Oeste";"Pública";"6,1";"5,3"
"RO";1100155;"Ouro Preto do Oeste";"Estadual";"5,1";"4,6"
"RO";1100155;"Ouro Preto do Oeste";"Municipal";;"4,8"
"RO";1100155;"Ouro Preto do Oeste";"Pública";"5,1";"4,6"
"RO";1100189;"Pimenta Bueno";"Estadual";"5";"5,1"
"RO";1100189;"Pimenta Bueno";"Municipal";;"5,3"
"RO";1100189;"Pimenta Bueno";"Pública";"4,9";"5,1"
"RO";1100205;"Porto Velho";"Estadual";"4,4";"4,9"
"RO";1100205;"Porto Velho";"Municipal";;"5,1"
"RO";1100205;"Porto Velho";"Pública";"4,4";"4,9"
"RO";1100254;"Presidente Médici";"Estadual";"5,4";"5,5"
"RO";1100254;"Presidente Médici";"Municipal";;"5,5"
"RO";1100254;"Presidente Médici";"Pública";"5,4";"5,3"
"RO";1100262;"Rio Crespo";"Estadual";"4,5";"5,1"
"RO";1100262;"Rio Crespo";"Municipal";;
"RO";1100262;"Rio Crespo";"Pública";"4,2";"5,2"
"RO";1100288;"Rolim de Moura";"Estadual";"5,4";"4,9"
"RO";1100288;"Rolim de Moura";"Municipal";;"5"
"RO";1100288;"Rolim de Moura";"Pública";"5,3";"4,9"
"RO";1100296;"Santa Luzia D'Oeste";"Estadual";"5,3";"5,4"
"RO";1100296;"Santa Luzia D'Oeste";"Municipal";;"4,7"
