"SG_UF";"CO_MUNICIPIO";"NO_MUNICIPIO";"REDE";"VL_NOTA_MEDIA_2019";"VL_PROJECAO_2019"
"RO";1100015;"Alta Floresta D'Oeste";"Estadual";6,246496;5,5
"RO";1100015;"Alta Floresta D'Oeste";"Municipal";4,992906;5,5
"RO";1100015;"Alta Floresta D'Oeste";"Pública";6,007245;5,7
"RO";1100023;"Ariquemes";"Estadual";6,074639;5,9
"RO";1100023;"Ariquemes";"Municipal";5,611315;5,5
"RO";1100023;"Ariquemes";"Pública";5,686366;5,7
"RO";1100031;"Cabixi";"Estadual";;6
"RO";1100031;"Cabixi";"Municipal";5,769059;5,4
"RO";1100031;"Cabixi";"Pública";5,769059;5,6
"RO";1100049;"Cacoal";"Estadual";6,145028;5,7
"RO";1100049;"Cacoal";"Municipal";5,921251;6
"RO";1100049;"Cacoal";"Pública";6,037093;5,9
"RO";1100056;"Cerejeiras";"Estadual";7,397642;6
"RO";1100056;"Cerejeiras";"Municipal";6,566727;5,8
"RO";1100056;"Cerejeiras";"Pública";6,782901;5,9
"RO";1100064;"Colorado do Oeste";"Estadual";;6,1
"RO";1100064;"Colorado do Oeste";"Municipal";6,557992;5,9
"RO";1100064;"Colorado do Oeste";"Pública";6,557992;6
"RO";1100072;"Corumbiara";"Estadual";;5,5
"RO";1100072;"Corumbiara";"Municipal";6,512838;5,5
"RO";1100072;"Corumbiara";"Pública";6,512838;5,5
"RO";1100080;"Costa Marques";"Estadual";;5,5
"RO";1100080;"Costa Marques";"Municipal";5,628676;4,6
"RO";1100080;"Costa Marques";"Pública";5,628676;5,1
"RO";1100098;"Espigão D'Oeste";"Estadual";6,124405;5,7
"RO";1100098;"Espigão D'Oeste";"Municipal";6,176759;5,8
"RO";1100098;"Espigão D'Oeste";"Pública";6,151237;5,9
"RO";1100106;"Guajará-Mirim";"Estadual";5,671768;5,3
"RO";1100106;"Guajará-Mirim";"Municipal";5,447093;5,1
"RO";1100106;"Guajará-Mirim";"Pública";5,524566;5,2
"RO";1100114;"Jaru";"Estadual";5,760817;5,6
"RO";1100114;"Jaru";"Municipal";6,04171;5,1
"RO";1100114;"Jaru";"Pública";5,905645;5,3
"RO";1100122;"Ji-Paraná";"Estadual";5,864913;5,7
"RO";1100122;"Ji-Paraná";"Municipal";6,424756;6
"RO";1100122;"Ji-Paraná";"Pública";6,053387;5,8
"RO";1100130;"Machadinho D'Oeste";"Estadual";;6,1
"RO";1100130;"Machadinho D'Oeste";"Municipal";5,463307;4,5
"RO";1100130;"Machadinho D'Oeste";"Pública";5,463307;4,9
"RO";1100148;"Nova Brasilândia D'Oeste";"Estadual";7,378714;5,6
"RO";1100148;"Nova Brasilândia D'Oeste";"Municipal";6,970728;5,8
"RO";1100148;"Nova Brasilândia D'Oeste";"Pública";7,104418;5,6
"RO";1100155;"Ouro Preto do Oeste";"Estadual";5,641545;5,6
"RO";1100155;"Ouro Preto do Oeste";"Municipal";6,344115;5,2
"RO";1100155;"Ouro Preto do Oeste";"Pública";6,307722;5,4
"RO";1100189;"Pimenta Bueno";"Estadual";5,804588;6
"RO";1100189;"Pimenta Bueno";"Municipal";6,150143;5,9
"RO";1100189;"Pimenta Bueno";"Pública";6,098924;5,9
"RO";1100205;"Porto Velho";"Estadual";5,901135;5,5
"RO";1100205;"Porto Velho";"Municipal";5,746037;5,5
"RO";1100205;"Porto Velho";"Pública";5,787495;5,6
"RO";1100254;"Presidente Médici";"Estadual";6,224543;5,8
"RO";1100254;"Presidente Médici";"Municipal";6,214677;5,3
"RO";1100254;"Presidente Médici";"Pública";6,219104;5,7
"RO";1100262;"Rio Crespo";"Estadual";;5,3
"RO";1100262;"Rio Crespo";"Municipal";4,532041;5,1
"RO";1100262;"Rio Crespo";"Pública";4,532041;5,2
"RO";1100288;"Rolim de Moura";"Estadual";6,758951;6
"RO";1100288;"Rolim de Moura";"Municipal";5,858761;5,6
"RO";1100288;"Rolim de Moura";"Pública";6,188001;5,9
"RO";1100296;"Santa Luzia D'Oeste";"Estadual";;5,8
"RO";1100296;"Santa Luzia D'Oeste";"Municipal";6,670042;5,7
"RO";1100296;"Santa Luzia D'Oeste";"Pública";6,670042;5,6
"RO";1100304;"Vilhena";"Estadual";6,231455;6,1
"RO";1100304;"Vilhena";"Municipal";5,920409;5,7
"RO";1100304;"Vilhena";"Pública";5,952594;5,9
"RO";1100320;"São Miguel do Guaporé";"Estadual";;5,8
"RO";1100320;"São Miguel do Guaporé";"Municipal";5,420587;5,7
"RO";1100320;"São Miguel do Guaporé";"Pública";5,420587;5,7
"RO";1100338;"Nova Mamoré";"Estadual";5,752186;5,7
"RO";1100338;"Nova Mamoré";"Municipal";5,16421;5,1
"RO";1100338;"Nova Mamoré";"Pública";5,341086;5,2
"RO";1100346;"Alvorada D'Oeste";"Estadual";5,971305;6,1
"RO";1100346;"Alvorada D'Oeste";"Municipal";5,419204;4,8
"RO";1100346;"Alvorada D'Oeste";"Pública";5,532316;5,8
"RO";1100379;"Alto Alegre dos Parecis";"Estadual";6,293189;5,6
"RO";1100379;"Alto Alegre dos Parecis";"Municipal";5,594721;5,6
"RO";1100379;"Alto Alegre dos Parecis";"Pública";5,867262;5,5
"RO";1100403;"Alto Paraíso";"Estadual";6,062144;5,1
"RO";1100403;"Alto Paraíso";"Municipal";5,131866;5,4
"RO";1100403;"Alto Paraíso";"Pública";5,545529;5,2
"RO";1100452;"Buritis";"Estadual";;5,7
"RO";1100452;"Buritis";"Municipal";5,772698;5
"RO";1100452;"Buritis";"Pública";5,772698;5,3
"RO";1100502;"Novo Horizonte do Oeste";"Estadual";;5,2
"RO";1100502;"Novo Horizonte do Oeste";"Municipal";6,729171;5,5
"RO";1100502;"Novo Horizonte do Oeste";"Pública";6,729171;5,3
"RO";1100601;"Cacaulândia";"Municipal";5,232322;5,2
"RO";1100601;"Cacaulândia";"Pública";5,232322;5,2
"RO";1100700;"Campo Novo de Rondônia";"Estadual";;5,5
"RO";1100700;"Campo Novo de Rondônia";"Municipal";5,928202;5
"RO";1100700;"Campo Novo de Rondônia";"Pública";5,928202;5,1
"RO";1100809;"Candeias do Jamari";"Estadual";6,117895;5,1
"RO";1100809;"Candeias do Jamari";"Municipal";5,35272;5,1
"RO";1100809;"Candeias do Jamari";"Pública";5,591824;5,1
"RO";1100908;"Castanheiras";"Estadual";;5,5
"RO";1100908;"Castanheiras";"Pública";;5,5
"RO";1100924;"Chupinguaia";"Estadual";;5,4
"RO";1100924;"Chupinguaia";"Municipal";5,032257;5,7
"RO";1100924;"Chupinguaia";"Pública";5,032257;5,7
"RO";1100940;"Cujubim";"Estadual";;6
"RO";1100940;"Cujubim";"Municipal";4,995088;4,6
"RO";1100940;"Cujubim";"Pública";4,995088;4,9
"RO";1101005;"Governador Jorge Teixeira";"Estadual";;4,9
"RO";1101005;"Governador Jorge Teixeira";"Municipal";5,787087;5
"RO";1101005;"Governador Jorge Teixeira";"Pública";5,787087;4,9
"RO";1101104;"Itapuã do Oeste";"Estadual";;5,7
"RO";1101104;"Itapuã do Oeste";"Municipal";5,195092;5
"RO";1101104;"Itapuã do Oeste";"Pública";5,195092;5,1
"RO";1101203;"Ministro Andreazza";"Estadual";6,684362;5,7
"RO";1101203;"Ministro Andreazza";"Municipal";5,753085;5,4
"RO";1101203;"Ministro Andreazza";"Pública";6,100111;5,3
"RO";1101302;"Mirante da Serra";"Estadual";;5,3
"RO";1101302;"Mirante da Serra";"Municipal";5,760369;5,3
"RO";1101302;"Mirante da Serra";"Pública";5,760369;5,3
"RO";1101401;"Monte Negro";"Estadual";;5,9
