"id_municipio";"vl_ideb";"vl_proj"
2103802;4.7;5.2
2103901;3.4;3.9
2104008;4.5;5.2
2104057;4.6;4.5
2104073;4.1;4.4
2104081;3.6;5.1
2104099;4.9;4.7
2104107;4.7;5.4
2104206;3.9;4.6
2104305;4.5;4.9
2104404;4.4;5.1
2104503;4.5;5.3
2104552;3.9;4.6
2104602;4.5;4.8
2104628;3.5;4.5
2104651;3.6;4.8
2104677;;4.6
2104701;4.1;4.4
2104800;3.7;4.5
2104909;4.2;4.5
2105005;3.6;4.3
2105104;3.9;4.6
2105153;3.4;5.2
2105203;4.5;4.9
2105302;4.3;5.1
2105351;3.6;4.2
2105401;3.9;4.7
2105427;4.3;5.0
2105450;3.7;3.7
2105476;3.3;4.7
2105500;4.2;4.9
2105609;3.5;5.2
2105658;4.5;4.3
2105708;3.7;4.7
2105807;5.3;5.6
2105906;3.7;4.4
2105922;4.9;5.1
2105948;4.9;4.9
2105963;3.5;4.6
2105989;3.8;4.7
2106003;4.1;4.5
2106102;4.5;5.5
2106201;3.9;4.9
2106300;3.5;4.9
2106326;3.5;4.9
2106359;4.9;4.2
2106375;3.9;4.5
2106409;3.9;4.4
2106508;3.7;4.1
2106607;4.5;4.4
2106631;4.1;5.0
2106672;3.8;3.9
2106706;3.4;4.4
2106755;4.5;4.3
2106805;4.0;4.9
2106904;4.1;4.3
2107001;3.6;5.1
2107100;3.5;4.5
2107209;4.1;4.5
2107258;4.7;4.4
2107308;3.6;4.3
2107357;3.9;4.6
2107407;4.3;4.5
2107456;3.7;4.9
2107506;4.1;5.5
2107605;3.6;4.8
2107704;3.2;4.2
2107803;4.3;4.5
2107902;4.6;4.7
2108009;4.2;4.8
2108058;4.1;4.5
2108108;4.0;4.5
2108207;4.1;4.6
2108256;3.9;4.3
2108306;3.8;4.4
2108405;4.1;5.1
2108454;3.3;4.8
2108504;3.5;4.8
2108603;4.5;4.7
2108702;3.6;4.9
2108801;3.7;4.2
2108900;4.2;5.0
2109007;5.1;5.3
2109056;4.1;4.7
2109106;3.5;4.9
2109205;3.9;4.7
2109239;3.8;4.4
2109270;4.4;4.4
2109304;4.1;5.0
2109403;3.9;4.1
2109452;3.6;4.6
2109502;4.3;5.1
2109551;;5.0
2109601;4.5;4.7
2109700;4.6;4.6
2109759;;4.0
2109809;3.5;4.4
2109908;3.7;4.6
2110005;4.2;4.8
2110039;3.8;5.0
2110104;3.3;4.9
2110203;4.4;4.4
2110237;4.1;4.5
2110278;3.3;4.7
2110302;4.5;4.8
2110401;3.2;4.3
2110500;4.2;4.9
2110609;4.0;4.5
2110658;4.5;4.7
2110708;4.0;5.0
2110807;;4.5
2110856;4.3;4.6
2110906;4.1;4.6
2111003;3.4;4.3
2111029;3.4;5.1
2111052;4.1;4.9
2111078;3.7;4.1
2111102;4.6;4.6
2111201;4.6;5.1
2111250;3.8;4.0
2111300;4.2;5.0
2111409;3.7;5.0
2111508;3.6;4.6
2111532;3.8;4.2
2111573;5.2;5.0
2111607;4.6;5.4
2111631;3.9;4.1
2111672;4.0;5.3
2111706;3.2;4.5
2111722;4.1;4.7
2111748;3.3;4.5
2111763;3.0;4.8
2111789;3.6;4.8
2111805;4.3;4.4
2111904;3.9;4.6
2111953;3.6;4.9
2112001;4.7;5.1
2112100;4.0;4.7
2112209;5.1;4.8
2112233;4.8;4.9
2112274;4.1;4.9
2112308;3.8;4.4
2112407;3.9;4.4
2112456;3.8;4.2
2112506;4.3;4.8
2112605;3.3;4.9
2112704;4.5;4.9
2112803;4.0;4.6
2112852;4.3;4.3
2112902;4.1;4.4
2113009;3.7;4.7
2114007;4.0;4.7
2200053;;4.4
2200103;5.3;4.9
2200202;4.9;4.4
2200251;4.3;4.2
2200277;4.5;4.9
2200301;5.1;4.5
2200400;4.7;4.7
2200459;4.0;4.6
2200509;3.8;4.6
2200608;5.0;5.5
2200707;4.3;4.8
2200806;5.0;4.3
2200905;4.1;4.6
2200954;4.1;4.2
2201002;4.3;5.0
2201051;4.3;4.1
2201101;3.1;4.7
2201150;5.5;4.8
2201176;4.1;5.0
2201200;4.8;5.2
2201309;2.6;4.2
2201408;3.6;4.6
2201507;4.5;4.5
2201556;3.7;4.6
2201572;5.2;4.4
2201606;5.6;4.5
2201705;4.7;5.4
2201739;4.9;4.4
2201770;4.5;4.2
2201804;4.0;4.3
2201903;4.7;5.0
2201919;4.6;4.3
2201929;3.3;4.6
2201945;4.5;4.5
2201960;4.0;5.0
2201988;4.0;4.6
2202000;3.9;4.8
2202026;6.5;4.7
2202059;5.1;4.1
2202075;3.9;5.2
2202083;3.9;4.4
2202091;4.9;4.7
2202109;3.5;4.5
2202117;3.6;4.0
2202133;4.3;4.7
2202174;4.4;4.5
2202208;5.2;4.7
2202251;2.9;5.0
2202307;4.4;5.2
2202406;4.3;4.2
2202455;4.7;5.0
2202505;2.3;4.6
2202539;4.3;4.5
2202554;4.8;4.4
2202604;5.6;5.3
2202653;4.5;4.4
2202703;4.6;4.8
2202711;4.7;5.3
2202729;6.7;5.1
2202737;5.0;4.3
2202752;4.4;5.4
2202778;4.8;5.5
2202802;3.8;4.5
2202851;4.4;4.7
2202901;3.8;4.5
2203008;3.8;4.5
2203107;3.7;4.9
2203206;3.9;5.1
2203230;4.1;5.0
2203255;3.6;4.1
2203271;4.6;3.9
2203305;4.5;4.7
2203354;4.2;4.7
2203404;5.4;4.7
2203420;5.9;5.9
2203453;4.7;3.8
2203503;4.4;4.5
2203602;3.4;4.6
2203701;3.7;4.9
2203750;3.6;4.0
2203800;3.9;4.7
2203859;4.2;5.3
2203909;4.9;5.2
2204006;;4.4
2204105;4.1;4.2
2204154;4.1;4.2
2204204;5.1;5.8
2204303;5.4;4.8
2204352;4.2;5.2
2204402;3.8;5.3
2204501;4.3;4.7
2204550;3.4;3.4
2204600;3.8;4.5
2204659;3.7;4.2
2204709;4.6;5.1
2204808;4.8;5.1
2204907;4.6;4.3
2205003;4.2;4.3
2205102;3.1;4.5
2205151;3.8;3.8
2205201;4.9;4.3
2205250;4.3;5.4
2205276;5.3;4.7
2205300;4.0;5.2
2205359;3.8;4.1
2205409;4.5;4.7
2205458;3.9;4.7
2205508;3.9;4.6
2205516;4.8;5.3
2205524;;4.4
2205532;4.4;4.1
2205540;5.4;4.9
2205557;5.2;4.5
2205565;5.0;4.8
2205573;3.8;3.9
2205581;3.1;4.0
2205599;3.4;4.7
2205607;5.6;4.4
2205706;3.4;4.2
2205805;3.3;4.8
2205854;4.0;4.1
2205904;5.0;4.6
2205953;3.8;4.3
2206001;5.3;5.2
2206050;4.4;4.3
2206100;3.7;4.0
2206209;3.4;4.6
2206308;5.1;3.6
2206357;3.9;4.7
