"id_municipio";"nm_municipio";"vl_ideb";"vl_proj"
1706001;Couto Magalhães;3.8;4.9
1706100;Cristalândia;4.8;5.5
1706258;Crixás do Tocantins;4.3;5.0
1706506;Darcinópolis;4.9;5.0
1707009;Dianópolis;4.0;5.4
1707108;Divinópolis do Tocantins;4.6;5.4
1707207;Dois Irmãos do Tocantins;;5.4
1707306;Dueré;4.2;5.2
1707405;Esperantina;3.9;4.7
1707553;Fátima;;5.2
1707652;Figueirópolis;4.1;5.6
1707702;Filadélfia;4.1;5.3
1708205;Formoso do Araguaia;4.3;5.2
1708254;Fortaleza do Tabocão;4.5;5.0
1708304;Goianorte;3.9;4.9
1709005;Goiatins;3.9;4.8
1709302;Guaraí;4.0;5.5
1709500;Gurupi;5.4;5.6
1709807;Ipueiras;3.9;4.7
1710508;Itacajá;4.6;6.0
1710706;Itaguatins;4.0;4.9
1710904;Itapiratins;4.2;5.4
1711100;Itaporã do Tocantins;4.2;5.3
1711506;Jaú do Tocantins;4.7;4.7
1711803;Juarina;;4.5
1711902;Lagoa da Confusão;3.6;5.5
1711951;Lagoa do Tocantins;4.1;5.3
1712009;Lajeado;4.8;4.9
1712157;Lavandeira;4.9;5.6
1712405;Lizarda;3.6;5.4
1715259;Novo Jardim;;4.6
1712454;Luzinópolis;4.9;5.7
1712504;Marianópolis do Tocantins;3.7;4.9
1712702;Mateiros;;4.7
1712801;Maurilândia do Tocantins;4.0;4.7
1713205;Miracema do Tocantins;4.3;5.3
1713304;Miranorte;4.3;4.9
1713601;Monte do Carmo;4.2;5.5
1713700;Monte Santo do Tocantins;4.5;4.9
1713809;Palmeiras do Tocantins;4.4;5.5
1713957;Muricilândia;4.0;5.2
1714203;Natividade;4.7;5.1
1714302;Nazaré;4.5;5.1
1714880;Nova Olinda;4.1;4.9
1715002;Nova Rosalândia;4.6;5.6
1715101;Novo Acordo;3.7;4.7
1715150;Novo Alegre;5.2;5.4
1715507;Oliveira de Fátima;;5.0
1715705;Palmeirante;3.7;4.8
1715754;Palmeirópolis;5.4;5.1
1716109;Paraíso do Tocantins;5.0;5.5
1716208;Paranã;;4.8
1716307;Pau D'Arco;4.2;5.4
1716505;Pedro Afonso;4.8;4.8
1716604;Peixe;;5.5
1716653;Pequizeiro;4.5;5.5
1716703;Colméia;4.8;5.5
1717008;Pindorama do Tocantins;4.3;5.5
1717206;Piraquê;;4.9
1717503;Pium;4.8;5.2
1717800;Ponte Alta do Bom Jesus;2.8;4.8
1717909;Ponte Alta do Tocantins;;5.5
1718006;Porto Alegre do Tocantins;;5.2
1718204;Porto Nacional;4.6;5.7
1718303;Praia Norte;3.4;4.9
1718402;Presidente Kennedy;3.9;5.6
1718451;Pugmil;4.5;4.8
1718501;Recursolândia;3.9;5.2
1718550;Riachinho;3.6;4.9
1718659;Rio da Conceição;4.2;4.3
1718709;Rio dos Bois;4.0;4.4
1718758;Rio Sono;4.3;5.1
1718808;Sampaio;4.6;4.9
1718840;Sandolândia;4.1;5.3
1718865;Santa Fé do Araguaia;4.5;5.1
1718881;Santa Maria do Tocantins;;5.5
1718899;Santa Rita do Tocantins;5.0;5.0
1718907;Santa Rosa do Tocantins;4.5;5.0
1719004;Santa Tereza do Tocantins;4.7;5.5
1720002;Santa Terezinha do Tocantins;3.3;5.3
1720101;São Bento do Tocantins;;5.0
1720150;São Félix do Tocantins;3.5;4.9
1720655;Silvanópolis;4.1;5.0
1720200;São Miguel do Tocantins;3.5;5.4
1720259;São Salvador do Tocantins;4.2;4.7
1720309;São Sebastião do Tocantins;4.3;5.4
1720499;São Valério;5.0;5.4
1720804;Sítio Novo do Tocantins;3.9;4.7
1720853;Sucupira;4.8;5.3
1720903;Taguatinga;3.5;4.7
1720937;Taipas do Tocantins;3.2;4.8
1720978;Talismã;4.2;5.7
1721000;Palmas;5.4;5.3
1721109;Tocantínia;3.3;4.9
1721208;Tocantinópolis;4.2;5.5
1721257;Tupirama;;5.6
1721307;Tupiratins;;5.4
1722081;Wanderlândia;4.8;5.3
1722107;Xambioá;4.4;5.1
2100055;Açailândia;4.0;4.9
2100105;Afonso Cunha;3.2;4.3
2100154;Água Doce do Maranhão;3.5;4.9
2100204;Alcântara;;4.6
2100303;Aldeias Altas;3.2;4.4
2100402;Altamira do Maranhão;;5.3
2100436;Alto Alegre do Maranhão;3.4;4.4
2100477;Alto Alegre do Pindaré;5.1;5.6
2100501;Alto Parnaíba;4.8;4.4
2100550;Amapá do Maranhão;4.2;4.1
2100600;Amarante do Maranhão;3.4;4.6
2100709;Anajatuba;3.5;4.3
2100808;Anapurus;3.3;4.1
2100832;Apicum-Açu;3.8;4.8
2100873;Araguanã;3.8;4.5
2100907;Araioses;3.5;4.9
2100956;Arame;3.2;5.3
2101004;Arari;5.1;5.1
2101103;Axixá;4.3;4.4
2101202;Bacabal;4.6;4.7
2101251;Bacabeira;4.2;4.8
2101301;Bacuri;4.0;4.5
2101350;Bacurituba;3.2;4.7
2101400;Balsas;4.2;5.1
2101509;Barão de Grajaú;4.8;5.1
2101608;Barra do Corda;4.1;5.2
2101707;Barreirinhas;3.8;4.9
2101731;Belágua;3.4;4.4
2101772;Bela Vista do Maranhão;;4.8
2101806;Benedito Leite;5.1;4.5
2101905;Bequimão;3.9;4.8
2101939;Bernardo do Mearim;3.7;4.5
2101970;Boa Vista do Gurupi;3.6;5.0
2102002;Bom Jardim;3.9;4.5
2102036;Bom Jesus das Selvas;3.7;4.8
2102077;Bom Lugar;3.9;5.0
2102101;Brejo;3.5;4.2
2102150;Brejo de Areia;3.1;4.7
2102200;Buriti;3.5;4.3
2102309;Buriti Bravo;4.4;5.2
2102325;Buriticupu;3.9;4.8
2102358;Buritirana;3.7;4.6
2102374;Cachoeira Grande;4.1;4.1
2102408;Cajapió;3.0;4.6
2102507;Cajari;3.9;4.4
2102556;Campestre do Maranhão;5.0;4.4
2102606;Cândido Mendes;4.2;5.2
2102705;Cantanhede;3.0;4.2
2102754;Capinzal do Norte;4.4;4.3
2102804;Carolina;4.2;4.9
2102903;Carutapera;4.7;4.8
2103000;Caxias;4.1;4.5
2103109;Cedral;5.0;4.3
2103125;Central do Maranhão;3.5;4.5
2103158;Centro do Guilherme;3.3;4.5
2103174;Centro Novo do Maranhão;3.2;5.0
2103208;Chapadinha;3.7;4.9
2103257;Cidelândia;3.8;4.8
2103307;Codó;3.9;4.6
2103406;Coelho Neto;3.4;4.3
2103505;Colinas;3.6;4.7
2103554;Conceição do Lago-Açu;3.0;4.1
2103604;Coroatá;3.7;4.3
2103703;Cururupu;3.6;4.5
2103752;Davinópolis;3.8;4.7
2103802;Dom Pedro;4.7;5.2
2103901;Duque Bacelar;3.4;3.9
2104008;Esperantinópolis;4.5;5.2
2104057;Estreito;4.6;4.5
2104073;Feira Nova do Maranhão;4.1;4.4
2104081;Fernando Falcão;3.6;5.1
2104099;Formosa da Serra Negra;4.9;4.7
2104107;Fortaleza dos Nogueiras;4.7;5.4
2104206;Fortuna;3.9;4.6
2104305;Godofredo Viana;4.5;4.9
2104404;Gonçalves Dias;4.4;5.1
2104503;Governador Archer;4.5;5.3
2104552;Governador Edison Lobão;3.9;4.6
2104602;Governador Eugênio Barros;4.5;4.8
2104628;Governador Luiz Rocha;3.5;4.5
2104651;Governador Newton Bello;3.6;4.8
2104677;Governador Nunes Freire;;4.6
2104701;Graça Aranha;4.1;4.4
2104800;Grajaú;3.7;4.5
2104909;Guimarães;4.2;4.5
2105005;Humberto de Campos;3.6;4.3
2105104;Icatu;3.9;4.6
2105153;Igarapé do Meio;3.4;5.2
2105203;Igarapé Grande;4.5;4.9
2105302;Imperatriz;4.3;5.1
2105351;Itaipava do Grajaú;3.6;4.2
2105401;Itapecuru Mirim;3.9;4.7
2105427;Itinga do Maranhão;4.3;5.0
2105450;Jatobá;3.7;3.7
2105476;Jenipapo dos Vieiras;3.3;4.7
2105500;João Lisboa;4.2;4.9
2105609;Joselândia;3.5;5.2
2105658;Junco do Maranhão;4.5;4.3
2105708;Lago da Pedra;3.7;4.7
2105807;Lago do Junco;5.3;5.6
2105906;Lago Verde;3.7;4.4
2105922;Lagoa do Mato;4.9;5.1
2105948;Lago dos Rodrigues;4.9;4.9
2105963;Lagoa Grande do Maranhão;3.5;4.6
2105989;Lajeado Novo;3.8;4.7
2106003;Lima Campos;4.1;4.5
2106102;Loreto;4.5;5.5
2106201;Luís Domingues;3.9;4.9
2106300;Magalhães de Almeida;3.5;4.9
2106326;Maracaçumé;3.5;4.9
2106359;Marajá do Sena;4.9;4.2
2106375;Maranhãozinho;3.9;4.5
2106409;Mata Roma;3.9;4.4
2106508;Matinha;3.7;4.1
2106607;Matões;4.5;4.4
2106631;Matões do Norte;4.1;5.0
2106672;Milagres do Maranhão;3.8;3.9
2106706;Mirador;3.4;4.4
2106755;Miranda do Norte;4.5;4.3
2106805;Mirinzal;4.0;4.9
2106904;Monção;4.1;4.3
2107001;Montes Altos;3.6;5.1
2107100;Morros;3.5;4.5
2107209;Nina Rodrigues;4.1;4.5
2107258;Nova Colinas;4.7;4.4
2107308;Nova Iorque;3.6;4.3
2107357;Nova Olinda do Maranhão;3.9;4.6
2107407;Olho d'Água das Cunhãs;4.3;4.5
2107456;Olinda Nova do Maranhão;3.7;4.9
2107506;Paço do Lumiar;4.1;5.5
2107605;Palmeirândia;3.6;4.8
2107704;Paraibano;3.2;4.2
2107803;Parnarama;4.3;4.5
2107902;Passagem Franca;4.6;4.7
2108009;Pastos Bons;4.2;4.8
2108058;Paulino Neves;4.1;4.5
2108108;Paulo Ramos;4.0;4.5
2108207;Pedreiras;4.1;4.6
2108256;Pedro do Rosário;3.9;4.3
2108306;Penalva;3.8;4.4
2108405;Peri Mirim;4.1;5.1
2108454;Peritoró;3.3;4.8
2108504;Pindaré-Mirim;3.5;4.8
2108603;Pinheiro;4.5;4.7
2108702;Pio XII;3.6;4.9
2108801;Pirapemas;3.7;4.2
2108900;Poção de Pedras;4.2;5.0
2109007;Porto Franco;5.1;5.3
2109056;Porto Rico do Maranhão;4.1;4.7
2109106;Presidente Dutra;3.5;4.9
2109205;Presidente Juscelino;3.9;4.7
2109239;Presidente Médici;3.8;4.4
2109270;Presidente Sarney;4.4;4.4
2109304;Presidente Vargas;4.1;5.0
2109403;Primeira Cruz;3.9;4.1
2109452;Raposa;3.6;4.6
2109502;Riachão;4.3;5.1
2109551;Ribamar Fiquene;;5.0
2109601;Rosário;4.5;4.7
2109700;Sambaíba;4.6;4.6
2109759;Santa Filomena do Maranhão;;4.0
2109809;Santa Helena;3.5;4.4
2109908;Santa Inês;3.7;4.6
2110005;Santa Luzia;4.2;4.8
2110039;Santa Luzia do Paruá;3.8;5.0
2110104;Santa Quitéria do Maranhão;3.3;4.9
2110203;Santa Rita;4.4;4.4
2110237;Santana do Maranhão;4.1;4.5
2110278;Santo Amaro do Maranhão;3.3;4.7
2110302;Santo Antônio dos Lopes;4.5;4.8
2110401;São Benedito do Rio Preto;3.2;4.3
2110500;São Bento;4.2;4.9
2110609;São Bernardo;4.0;4.5
2110658;São Domingos do Azeitão;4.5;4.7
2110708;São Domingos do Maranhão;4.0;5.0
2110807;São Félix de Balsas;;4.5
2110856;São Francisco do Brejão;4.3;4.6
2110906;São Francisco do Maranhão;4.1;4.6
2111003;São João Batista;3.4;4.3
2111029;São João do Carú;3.4;5.1
2111052;São João do Paraíso;4.1;4.9
2111078;São João do Soter;3.7;4.1
2111102;São João dos Patos;4.6;4.6
2111201;São José de Ribamar;4.6;5.1
2111250;São José dos Basílios;3.8;4.0
2111300;São Luís;4.2;5.0
2111409;São Luís Gonzaga do Maranhão;3.7;5.0
2111508;São Mateus do Maranhão;3.6;4.6
2111532;São Pedro da Água Branca;3.8;4.2
2111573;São Pedro dos Crentes;5.2;5.0
2111607;São Raimundo das Mangabeiras;4.6;5.4
2111631;São Raimundo do Doca Bezerra;3.9;4.1
2111672;São Roberto;4.0;5.3
2111706;São Vicente Ferrer;3.2;4.5
2111722;Satubinha;4.1;4.7
2111748;Senador Alexandre Costa;3.3;4.5
2111763;Senador La Rocque;3.0;4.8
2111789;Serrano do Maranhão;3.6;4.8
2111805;Sítio Novo;4.3;4.4
2111904;Sucupira do Norte;3.9;4.6
2111953;Sucupira do Riachão;3.6;4.9
2112001;Tasso Fragoso;4.7;5.1
2112100;Timbiras;4.0;4.7
2112209;Timon;5.1;4.8
2112233;Trizidela do Vale;4.8;4.9
2112274;Tufilândia;4.1;4.9
2112308;Tuntum;3.8;4.4
2112407;Turiaçu;3.9;4.4
2112456;Turilândia;3.8;4.2
2112506;Tutóia;4.3;4.8
2112605;Urbano Santos;3.3;4.9
2112704;Vargem Grande;4.5;4.9
2112803;Viana;4.0;4.6
2112852;Vila Nova dos Martírios;4.3;4.3
2112902;Vitória do Mearim;4.1;4.4
2113009;Vitorino Freire;3.7;4.7
2114007;Zé Doca;4.0;4.7
2200053;Acauã;;4.4
2200103;Agricolândia;5.3;4.9
2200202;Água Branca;4.9;4.4
2200251;Alagoinha do Piauí;4.3;4.2
2200277;Alegrete do Piauí;4.5;4.9
2200301;Alto Longá;5.1;4.5
2200400;Altos;4.7;4.7
2200459;Alvorada do Gurguéia;4.0;4.6
2200509;Amarante;3.8;4.6
2200608;Angical do Piauí;5.0;5.5
2200707;Anísio de Abreu;4.3;4.8
2200806;Antônio Almeida;5.0;4.3
2200905;Aroazes;4.1;4.6
2200954;Aroeiras do Itaim;4.1;4.2
2201002;Arraial;4.3;5.0
2201051;Assunção do Piauí;4.3;4.1
2201101;Avelino Lopes;3.1;4.7
2201150;Baixa Grande do Ribeiro;5.5;4.8
2201176;Barra D'Alcântara;4.1;5.0
2201200;Barras;4.8;5.2
2201309;Barreiras do Piauí;2.6;4.2
2201408;Barro Duro;3.6;4.6
2201507;Batalha;4.5;4.5
2201556;Bela Vista do Piauí;3.7;4.6
2201572;Belém do Piauí;5.2;4.4
2201606;Beneditinos;5.6;4.5
2201705;Bertolínia;4.7;5.4
2201739;Betânia do Piauí;4.9;4.4
2201770;Boa Hora;4.5;4.2
2201804;Bocaina;4.0;4.3
2201903;Bom Jesus;4.7;5.0
2201919;Bom Princípio do Piauí;4.6;4.3
2201929;Bonfim do Piauí;3.3;4.6
2201945;Boqueirão do Piauí;4.5;4.5
2201960;Brasileira;4.0;5.0
2201988;Brejo do Piauí;4.0;4.6
2202000;Buriti dos Lopes;3.9;4.8
2202026;Buriti dos Montes;6.5;4.7
2202059;Cabeceiras do Piauí;5.1;4.1
2202075;Cajazeiras do Piauí;3.9;5.2
2202083;Cajueiro da Praia;3.9;4.4
2202091;Caldeirão Grande do Piauí;4.9;4.7
2202109;Campinas do Piauí;3.5;4.5
2202117;Campo Alegre do Fidalgo;3.6;4.0
2202133;Campo Grande do Piauí;4.3;4.7
2202174;Campo Largo do Piauí;4.4;4.5
2202208;Campo Maior;5.2;4.7
2202251;Canavieira;2.9;5.0
2202307;Canto do Buriti;4.4;5.2
2202406;Capitão de Campos;4.3;4.2
2202455;Capitão Gervásio Oliveira;4.7;5.0
2202505;Caracol;2.3;4.6
2202539;Caraúbas do Piauí;4.3;4.5
2202554;Caridade do Piauí;4.8;4.4
2202604;Castelo do Piauí;5.6;5.3
2202653;Caxingó;4.5;4.4
2202703;Cocal;4.6;4.8
2202711;Cocal de Telha;4.7;5.3
2202729;Cocal dos Alves;6.7;5.1
2202737;Coivaras;5.0;4.3
2202752;Colônia do Gurguéia;4.4;5.4
2202778;Colônia do Piauí;4.8;5.5
2202802;Conceição do Canindé;3.8;4.5
2202851;Coronel José Dias;4.4;4.7
2202901;Corrente;3.8;4.5
2203008;Cristalândia do Piauí;3.8;4.5
2203107;Cristino Castro;3.7;4.9
2203206;Curimatá;3.9;5.1
2203230;Currais;4.1;5.0
2203255;Curralinhos;3.6;4.1
2203271;Curral Novo do Piauí;4.6;3.9
2203305;Demerval Lobão;4.5;4.7
2203354;Dirceu Arcoverde;4.2;4.7
2203404;Dom Expedito Lopes;5.4;4.7
2203420;Domingos Mourão;5.9;5.9
2203453;Dom Inocêncio;4.7;3.8
2203503;Elesbão Veloso;4.4;4.5
2203602;Eliseu Martins;3.4;4.6
2203701;Esperantina;3.7;4.9
2203750;Fartura do Piauí;3.6;4.0
2203800;Flores do Piauí;3.9;4.7
2203859;Floresta do Piauí;4.2;5.3
2203909;Floriano;4.9;5.2
2204006;Francinópolis;;4.4
2204105;Francisco Ayres;4.1;4.2
2204154;Francisco Macedo;4.1;4.2
2204204;Francisco Santos;5.1;5.8
2204303;Fronteiras;5.4;4.8
2204352;Geminiano;4.2;5.2
2204402;Gilbués;3.8;5.3
2204501;Guadalupe;4.3;4.7
2204550;Guaribas;3.4;3.4
2204600;Hugo Napoleão;3.8;4.5
2204659;Ilha Grande;3.7;4.2
2204709;Inhuma;4.6;5.1
2204808;Ipiranga do Piauí;4.8;5.1
2204907;Isaías Coelho;4.6;4.3
2205003;Itainópolis;4.2;4.3
2205102;Itaueira;3.1;4.5
2205151;Jacobina do Piauí;3.8;3.8
2205201;Jaicós;4.9;4.3
2205250;Jardim do Mulato;4.3;5.4
2205276;Jatobá do Piauí;5.3;4.7
2205300;Jerumenha;4.0;5.2
2205359;João Costa;3.8;4.1
2205409;Joaquim Pires;4.5;4.7
2205458;Joca Marques;3.9;4.7
2205508;José de Freitas;3.9;4.6
2205516;Juazeiro do Piauí;4.8;5.3
2205524;Júlio Borges;;4.4
2205532;Jurema;4.4;4.1
2205540;Lagoinha do Piauí;5.4;4.9
2205557;Lagoa Alegre;5.2;4.5
2205565;Lagoa do Barro do Piauí;5.0;4.8
2205573;Lagoa de São Francisco;3.8;3.9
2205581;Lagoa do Piauí;3.1;4.0
2205599;Lagoa do Sítio;3.4;4.7
2205607;Landri Sales;5.6;4.4
2205706;Luís Correia;3.4;4.2
2205805;Luzilândia;3.3;4.8
2205854;Madeiro;4.0;4.1
2205904;Manoel Emídio;5.0;4.6
2205953;Marcolândia;3.8;4.3
2206001;Marcos Parente;5.3;5.2
2206050;Massapê do Piauí;4.4;4.3
2206100;Matias Olímpio;3.7;4.0
2206209;Miguel Alves;3.4;4.6
2206308;Miguel Leão;5.1;3.6
2206357;Milton Brandão;3.9;4.7
2206407;Monsenhor Gil;4.1;5.1
2206506;Monsenhor Hipólito;5.1;5.8
2206605;Monte Alegre do Piauí;3.8;4.7
2206654;Morro Cabeça no Tempo;;4.4
