"sg_unidade";"nr_ano";"vl_nota_padronizada";"tx_ind_rendimento";"vl_ideb"
RO;2005;4.203025;0.704518;3.0
AC;2005;3.870503;0.770317;3.0
AM;2005;3.411052;0.667189;2.3
RR;2005;4.238248;0.765766;3.2
PA;2005;3.634458;0.725433;2.6
AP;2005;3.905304;0.689273;2.7
TO;2005;3.628493;0.796381;2.9
MA;2005;3.251666;0.751929;2.4
PI;2005;3.563835;0.650119;2.3
CE;2005;3.970516;0.743691;3.0
RN;2005;3.613179;0.723879;2.6
PB;2005;3.53259;0.745522;2.6
PE;2005;3.697813;0.726852;2.7
AL;2005;3.751741;0.743931;2.8
SE;2005;3.964231;0.716937;2.8
BA;2005;3.824177;0.713533;2.7
MG;2005;4.515718;0.763105;3.4
ES;2005;4.32468;0.714292;3.1
RJ;2005;3.834881;0.724699;2.8
SP;2005;4.163662;0.789565;3.3
PR;2005;4.411773;0.746163;3.3
SC;2005;4.395337;0.79213;3.5
RS;2005;5.049906;0.682157;3.4
MS;2005;4.438452;0.639702;2.8
MT;2005;4.001093;0.645356;2.6
GO;2005;3.868828;0.739471;2.9
DF;2005;4.638793;0.644658;3.0
RO;2007;4.226014;0.72522;3.1
AC;2007;4.185107;0.799603;3.3
AM;2007;3.651172;0.7691;2.8
RR;2007;3.962642;0.784722;3.1
PA;2007;3.666016;0.614422;2.3
AP;2007;3.828139;0.692463;2.7
TO;2007;3.782673;0.825183;3.1
MA;2007;3.606193;0.776661;2.8
PI;2007;3.550997;0.710928;2.5
CE;2007;4.040131;0.771986;3.1
RN;2007;3.776294;0.683321;2.6
PB;2007;3.83275;0.759982;2.9
PE;2007;3.72074;0.722144;2.7
AL;2007;3.508531;0.727765;2.6
SE;2007;3.603265;0.727076;2.6
BA;2007;3.967608;0.705703;2.8
MG;2007;4.663891;0.759049;3.5
ES;2007;4.107679;0.767251;3.2
RJ;2007;3.969977;0.693572;2.8
SP;2007;4.386433;0.777518;3.4
PR;2007;4.552976;0.82137;3.7
SC;2007;4.561868;0.823992;3.8
RS;2007;4.833568;0.699281;3.4
MS;2007;4.454157;0.759628;3.4
MT;2007;4.010937;0.747068;3.0
GO;2007;3.887918;0.725049;2.8
DF;2007;4.881551;0.655895;3.2
RO;2009;4.616867;0.799557;3.7
AC;2009;4.319126;0.807854;3.5
AM;2009;3.971461;0.815761;3.2
RR;2009;4.299895;0.806973;3.5
PA;2009;4.146742;0.725366;3.0
AP;2009;4.081815;0.696689;2.8
TO;2009;3.969877;0.835085;3.3
MA;2009;3.74007;0.806098;3.0
PI;2009;3.733945;0.717338;2.7
CE;2009;4.146748;0.809334;3.4
RN;2009;3.959861;0.715302;2.8
PB;2009;3.994401;0.753827;3.0
PE;2009;3.879357;0.784016;3.0
AL;2009;3.823358;0.730075;2.8
SE;2009;4.076151;0.704881;2.9
BA;2009;4.294653;0.71699;3.1
MG;2009;4.585126;0.792993;3.6
ES;2009;4.653547;0.722499;3.4
RJ;2009;4.107883;0.677775;2.8
SP;2009;4.513224;0.799676;3.6
