estado;IDEB_2005;IDEB_2007;IDEB_2009;IDEB_2011;IDEB_2013;IDEB_2015;IDEB_2017;IDEB_2019
Brasil;3,8;4,2;4,6;5,0;5,2;5,5;5,8;5,9
Norte;3,0;3,4;3,8;4,2;4,3;4,7;4,9;5,0
Rondônia;3,6;4,0;4,3;4,7;5,2;5,4;5,8;5,6
Acre;3,4;3,8;4,3;4,6;5,1;5,4;5,8;5,9
Amazonas;3,1;3,6;3,9;4,3;4,7;5,2;5,4;5,5
Roraima;3,7;4,1;4,3;4,7;5,0;5,2;5,5;5,7
Pará;2,8;3,1;3,6;4,2;4,0;4,5;4,7;4,9
Amapá;3,2;3,4;3,8;4,1;4,0;4,5;4,6;4,9
Tocantins;3,5;4,1;4,5;4,9;5,1;5,1;5,6;5,6
Nordeste;2,9;3,5;3,8;4,2;4,3;4,8;5,1;5,4
Maranhão;2,9;3,7;3,9;4,1;4,1;4,6;4,8;5,0
Piauí;2,8;3,5;4,0;4,4;4,5;4,9;5,3;5,7
Ceará;3,2;3,8;4,4;4,9;5,2;5,9;6,2;6,4
R. G. do Norte;2,7;3,4;3,9;4,1;4,4;4,8;5,0;5,2
Paraíba;3,0;3,4;3,9;4,3;4,5;4,9;5,1;5,4
Pernambuco;3,2;3,6;4,1;4,3;4,7;5,0;5,2;5,5
Alagoas;2,5;3,3;3,7;3,8;4,1;4,7;5,2;5,6
Sergipe;3,0;3,4;3,8;4,1;4,4;4,6;4,9;5,1
Bahia;2,7;3,4;3,8;4,2;4,3;4,7;5,1;5,3
Sudeste;4,6;4,8;5,3;5,6;5,9;6,1;6,4;6,5
Minas Gerais;4,7;4,7;5,6;5,9;6,1;6,3;6,5;6,5
Espírito Santo;4,2;4,6;5,1;5,2;5,4;5,7;6,0;6,1
Rio de Janeiro;4,3;4,4;4,7;5,1;5,2;5,5;5,8;5,8
São Paulo;4,7;5,0;5,5;5,6;6,1;6,4;6,6;6,7
Sul;4,4;4,8;5,1;5,5;5,8;6,0;6,2;6,3
Paraná;4,6;5,0;5,4;5,6;5,9;6,2;6,5;6,5
Santa Catarina;4,4;4,9;5,2;5,8;6,0;6,3;6,5;6,5
R. G. do Sul;4,3;4,6;4,9;5,1;5,6;5,7;5,8;6,0
Centro-Oeste;4,0;4,4;4,9;5,3;5,5;5,7;6,0;6,1
M. G. do Sul;3,6;4,3;4,6;5,1;5,2;5,5;5,7;5,7
Mato Grosso;3,6;4,4;4,9;5,1;5,3;5,7;5,9;5,9
Goiás;4,1;4,3;4,9;5,3;5,7;5,8;6,1;6,2
Distrito Federal;4,8;5,0;5,6;5,7;5,9;6,0;6,3;6,5
